country_name,country_code,gdp_per_capita,life_expectancy,pop,continent
Aruba,ABW,28396.908422861645,75.725,104339,Americas
Afghanistan,AFG,578.4663529417084,63.377,34413603,Asia
Angola,AGO,4166.97983330278,59.398,27884380,Africa
Albania,ALB,3952.801215244654,78.025,2880703,Europe
United Arab Emirates,ARE,38663.40050266046,77.285,9262896,Asia
Argentina,ARG,13789.060424772022,76.068,43131966,Americas
Armenia,ARM,3607.289298553611,74.467,2925559,Asia
Antigua and Barbuda,ATG,14285.329777309129,76.483,93571,Americas
Australia,AUS,56755.7217124249,82.4,23815995,Oceania
Austria,AUT,44178.047377743205,81.19024390243904,8642699,Europe
Azerbaijan,AZE,5500.31038244408,72.266,9649341,Asia
Burundi,BDI,305.54964602324463,60.123,10160034,Africa
Belgium,BEL,40991.80813814323,80.99268292682929,11274196,Europe
Benin,BEN,1076.79670153022,60.608,10575962,Africa
Burkina Faso,BFA,653.3272681394697,59.919,18110616,Africa
Bangladesh,BGD,1248.4533098961294,71.514,156256287,Asia
Bulgaria,BGR,7055.935672912449,74.61463414634147,7177991,Europe
Bahrain,BHR,22634.085647567445,76.762,1371853,Asia
"Bahamas, The",BHS,31295.563869588455,73.088,374200,Americas
Bosnia and Herzegovina,BIH,4727.27633310331,76.865,3429362,Europe
Belarus,BLR,5949.10630699748,73.62439024390245,9461076,Europe
Belize,BLZ,4770.232655638884,74.034,360926,Americas
Bermuda,BMU,102005.62564189034,81.01219512195122,65237,Americas
Bolivia,BOL,3035.9716549510713,70.277,10869732,Americas
Brazil,BRA,8814.001417874635,74.994,204471759,Americas
Barbados,BRB,16524.899501273976,78.801,285327,Americas
Brunei Darussalam,BRN,31164.03625284676,75.318,414914,Asia
Bhutan,BTN,2752.630172336775,70.419,727885,Asia
Botswana,BWA,6799.870177834129,67.338,2120716,Africa
Central African Republic,CAF,377.42291896808075,50.881,4493171,Africa
Canada,CAN,43596.13553655462,81.9,35702908,Americas
Switzerland,CHE,84776.14216597479,82.89756097560976,8282396,Europe
Chile,CHL,13574.16923774969,79.646,17969356,Americas
China,CHN,8066.94263493206,75.928,1379860000,Asia
Cote d'Ivoire,CIV,1972.545683058358,56.065,23226148,Africa
Cameroon,CMR,1327.5025612881268,57.583,23298376,Africa
"Congo, Dem. Rep.",COD,497.3170390773646,59.254,76244532,Africa
"Congo, Rep.",COG,2447.5393082572778,63.097,4856093,Africa
Colombia,COL,6175.876029702588,76.531,47520667,Americas
Comoros,COM,1242.5856821486402,63.471,777435,Africa
Cabo Verde,CPV,3043.0313815681075,72.117,524740,Africa
Costa Rica,CRI,11642.778051712305,79.565,4847805,Americas
Cuba,CUB,7694.014637109411,78.561,11324777,Americas
Curacao,CUW,19951.327903044086,78.07560975609758,157980,Americas
Cyprus,CYP,27865.5932241651,80.35,1160987,Asia
Czech Republic,CZE,17829.69832236678,78.5780487804878,10546059,Europe
Germany,DEU,41086.72967372527,80.64146341463415,81686611,Europe
Djibouti,DJI,2658.9642067343516,64.136,913998,Africa
Denmark,DNK,53254.856370091584,80.70243902439024,5683483,Europe
Dominican Republic,DOM,6921.520594327763,73.241,10281675,Americas
Algeria,DZA,4177.886891695736,76.09,39728020,Africa
Ecuador,ECU,6124.490887071335,76.143,16212022,Americas
"Egypt, Arab Rep.",EGY,3562.9326579842254,71.302,92442549,Africa
Spain,ESP,25732.018364745443,82.83170731707318,46444832,Europe
Estonia,EST,17395.040616214046,77.59024390243903,1315407,Europe
